word_id,entries_idx,pos,gloss
162,0,v.,(사회에서) 소외하다
163,0,v.,영향을 미치다
164,0,v.,포함하다
164,1,v.,참여시키다
164,2,v.,열중 시키다
165,0,v.,액체가 빠지다
165,1,v.,소모하다
166,0,adj.,엄청난
167,0,adj.,"분명한, 명백한"
168,0,n.,관개
169,0,v.,과장하다
170,0,adv.,안정적으로
171,0,n.,경작
172,0,v.,녹다
173,0,v.,"모방하다, 흉내내다"
174,0,v.,먹을 수 있는
175,0,v.,경고하다
175,1,n.,"알리다, 알림"
176,0,v.,"먹이를 주다, 공급하다"
177,0,n.,"수단, 방법"
178,0,n.,"침입, 방해"
179,0,adj.,속이 비어 있는
180,0,n.,"분배, 유통"
181,0,adv.,거의 ~ 않는
182,0,v.,돕다
182,1,v.,
183,0,v.,유지하다
184,0,adj.,"처음의, 최초의"
185,0,adj.,정확한
186,0,v.,관통하다
186,1,v.,"간파하다, 이해하다"
187,0,adj.,유연한
188,0,n.,"준비, 주선"
189,0,adv.,"선천적으로, 본질적으로"
190,0,n.,관계의 소원
191,0,adv.,"심각하게, 진지하게"
192,0,adj.,공식적인
192,1,n.,"공무원, 관리"
193,0,adj.,"고립된, 외딴"
194,0,v.,받아들이다
195,0,v.,"환호하다, 칭송하다, 인정하다"
195,1,n.,"찬사, 인정"
196,0,v.,과소평가하다
197,0,adj.,"거주중인, 살고 있는"
198,0,adj.,"좌우되는, 의존적인"
199,0,n.,"분출, 화산의 폭발"
200,0,adv.,"거의, 사실상"
201,0,adj.,"심각한, 극심한"
202,0,n.,최대 수용량
203,0,adj.,수직의
204,0,n.,침식
205,0,n.,"부족, 결함, 적자"
206,0,n.,"남은것, 유적, 유해, 유물"
207,0,adj.,"열렬한, 열망하는"
208,0,adj.,전체의
209,0,v.,요금을 청구하다
209,1,n.,요금
210,0,n.,"피부 자극, 짜증"
241,0,n.,정기 간행물
242,0,adj.,(정교하게) 복잡한
243,0,v.,납작하게 만들다
244,0,adv.,"완전히, 전부"
245,0,v.,"가두다, 몰아넣다"
245,1,n.,"덫, 함정"
246,0,adj.,"직업의, 직업과 관련된"
247,0,v.,(새로운) 말을 만들다
248,0,adj.,"요구가 많은, 힘든"
249,0,adj.,"놀랄 만한, 주목할 만한"
250,0,v.,"붙잡다, 장악하다"
251,0,v.,"계획, 사업"
252,0,v.,평가
253,0,v.,"착취하다, (부당하게) 이용하다, 개발하다"
254,0,v.,추출하다
255,0,v.,"괴롭히다, 시달리다"
256,0,adj.,축축한
257,0,n.,수치
257,1,adv.,~일 것이라고 생각하다
258,0,n.,"제공, 공급품"
259,0,v.,식민지로 만들다
260,0,n.,위험
261,0,v.,"전송하다, 전염시키다"
262,0,v.,(필수로)수반하다
263,0,v.,(위치에) 두다
263,1,v.,(정확한 위치를) 찾아내다
264,0,n.,농업
265,0,v.,"지지하다, 승인하다"
266,0,n.,증거
267,0,adj.,적절한
268,0,adj.,기밀의
269,0,adv.,"결정적으로, 확실하게"
270,0,adv.,"대신에, 오히려"
270,1,adv.,꽤
271,0,v.,조화시키다
272,0,v.,속해있다
273,0,n.,기생물
274,0,v.,"책임을 지우다, 비난하다"
275,0,n.,"이주, 이민"
276,0,v.,좌절시키다
277,0,v.,"동시에 일어나다, 일치하다"
278,0,n.,노출
279,0,adv.,"그렇게 함으로써, 그로인해"
280,0,n.,생물
281,0,n.,"종, 인종, 민족"
281,1,n.,경주
282,0,adj.,불가피한
283,0,adj.,"고안된, 설계된"
284,0,adj.,"합법적인, 정당한"
285,0,adj.,"신뢰할 수 있는, 확실한"
286,0,adj.,"의도적인, 자각하고 있는"
287,0,v.,우려하다
287,1,v.,"관련되다, 관련되어있다"
287,2,v.,"관심있다, 중시하다"
288,0,adj.,되돌릴 수 없는
289,0,n.,유물
290,0,n.,감금
291,0,v.,시도
291,1,v.,시도하다
292,0,v.,"장려하다, 촉진하다"
293,0,n.,세포
294,0,v.,낮추다
294,1,adj.,더 낮은
295,0,adj.,"도전적인, 힘든"
296,0,n.,"확신, 신념"
297,0,adj.,교육을 받은
298,0,adj.,정확한
299,0,n.,"복도, 통로"
300,0,n.,"덩어리, 질량"
300,1,n.,대중
301,0,adj.,"멸종된, 사라진"
301,1,adj.,"특정한, 특별한"
302,0,v.,
302,1,n.,"상세, 자세한 사실"
303,0,v.,"일어나다, 발생하다"
304,0,n.,"정도, 규모"
305,0,v.,"좌우하다, 운영하다"
306,0,n.,"추론, 논리, 이유"
307,0,v.,유사하다
308,0,n.,인정
308,1,n.,"인식, 알아 봄"
309,0,v.,"높이다, 향상시키다"
310,0,n.,"기근, 굶주림"
311,0,n.,(건물의) 층
312,0,n.,목표
312,1,v.,"목표로 하다, 대상으로 하다"
313,0,n.,장소
314,0,v.,초과하다
315,0,v.,"돌파구, (획기적인) 발전"
316,0,adj.,경쟁을 하는
316,1,adj.,"경쟁력 있는, (가성비에서) 뒤지지 않는"
317,0,adv.,~하는 동안
318,0,v.,"시작하다, 착수하다"
319,0,v.,"해내다, 이루다"
320,0,v.,표시하다
320,1,v.,줄거리를 구상하다
320,2,n.,"(작은 구획의) 땅, 토지"
321,0,n.,핵심
322,0,n.,"긴축, 경비 절감"
323,0,adj.,"우세한, 지배적인"
324,0,n.,의무
325,0,adj.,"가장 알맞은, 이상적인"
326,0,adj.,의식하지 못하는
327,0,n.,"맥락, 정황, 배경"
328,0,v.,중요하다
329,0,n.,(처리해야 할)문제
329,1,adv.,불가분하게
330,0,n.,"(필름이나 실, 전성 등을 감는 원통형의) 릴, 실패"
331,0,n.,부러움
332,0,n.,파충류
333,0,adj.,왜곡된
334,0,adj.,널리 퍼진
335,0,v.,"성공하다, 해내다"
335,1,n.,성공
336,0,v.,겁을 주다
337,0,adj.,"뚜렷한, 표시되어 있는"
338,0,adv.,적절하게
339,0,n.,"폭로, 드러냄"
340,0,adj.,"(특정시기에) 우세한, 지배적인"
341,0,n.,특징
341,1,v.,
342,0,n.,대출
343,0,v.,피하다
344,0,v.,기인하다
345,0,v.,차지하다
346,0,adv.,"대단히, 극도로"
347,0,adj.,자격이 있는
348,0,adj.,구체적인
348,1,n.,콘크리트
349,0,v.,타협하다
349,1,v.,
350,0,n.,"부족, 결핍"
350,1,v.,부족하다
351,0,adj.,상당한
352,0,v.,"언급하다, 연관되다"
353,0,v.,"복종하다, 따르다"
354,0,v.,소유하다
355,0,adj.,"보통의, 일상적인"
356,0,adj.,즉각적인
356,1,v.,(행동을) 촉발하다
356,2,n.,(대사를 일러주는 말)
357,0,v.,비난하다
358,0,n.,"침략, 쇄도"
359,0,v.,"거부하다, 거절하다"
360,0,adv.,~하도록
361,0,adj.,"정통의, 진품인"
362,0,adj.,"조각된, 새겨진"
363,0,v.,관련되어있다
364,0,n.,설치류
365,0,v.,바꾸다
366,0,adj.,각각의
366,1,adj.,개인의
367,0,adj.,"너무나도 별난, 충격적인"
368,0,adj.,집중적인
369,0,v.,차지하다
369,1,v.,~를 바쁘게 하다
370,0,adj.,가능한
371,0,adj.,비옥한
372,0,n.,수습사원
373,0,adj.,"중요한, 상당한"
374,0,v.,정착하다
374,1,v.,해결하다
374,2,v.,지불하다
375,0,adj.,일상적인
376,0,n.,"예약, 약속"
376,1,n.,"임명, 발령"
377,0,adv.,"주로, 크게"
378,0,v.,"수정하다, 변경하다"
379,0,adj.,"최악의, 큰 재앙의"
380,0,adj.,"걱정하는, 두려워하는"
381,0,n.,쟁기
382,0,v.,(어려움이 있어도) 계속하다
382,1,n.,"물질, 실체"
383,0,n.,가뭄
384,0,adj.,"섬의, 섬 근처의"
385,0,adj.,"일관된, 일정한"
385,1,adj.,일치하는
386,0,adj.,수익성이 좋은
387,0,n.,"묘사, 묘사법"
388,0,n.,"불일치, 불일치성"
389,0,adj.,"괴로움을 주는, 비참한"
389,1,v.,오도가지도 못하게 하다
390,0,n.,"가닥, 분야"
